"dataset","meanUncensored","varianceUncensored","meanAll","varianceAll","MMq","MM1side1dilutionError","MMqchisq","MMqchisqdf","MMqchisqp","MM1side1dilutionDeltaCIlo","MM1side1dilutionDeltaCIhi","MLq","ML1side1dilutionError","MLqchisq","MLqchisqdf","MLqchisqp","ML1side1dilutionBootCIlo","ML1side1dilutionBootCIhi","MLNdiscreteBootValues","sigma","b","Gausschisq","Gausschisqdf","Gausschisqp","Gauss1side1dilutionError","GaussNdiscreteBootValues","Gauss1side1dilutionBootCIlo","Gauss1side1dilutionBootCIhi","KSstat","KSstatLaplace"
"AbsxCauchemezDF",0.456692913385827,0.329458817647794,0.496350364963504,0.325354229282954,0.709682770705684,0.145158614647158,NA,NA,NA,0.11151196836413,0.178805260930187,0.704812605253802,0.147593697373099,1.8395938325041e-05,1,0.996577844793652,0.113173118182887,0.18032863590572,49,0.474450121071132,0.375791438127779,0.00718116516779257,1,0.932466699051337,0.145190794987386,49,0.114620690805236,0.175714725928046,NA,NA
"ThrusLongDF",0.540540540540541,0.361347649018882,0.552631578947368,0.35719298245614,0.668856054059939,0.165571972970031,NA,NA,NA,0.115349267968257,0.215794677971804,0.666666666888339,0.166666666555831,1.49380953247683e-17,1,0.99999999691619,0.119557044873659,0.219024256525492,38,0.508612585996111,0.400914066053116,0.016507105610458,1,0.897769139479512,0.161194361722132,38,0.11915582844503,0.197058760852224,NA,NA
"HierholzerTable3AdenoHADF",0.619834710743802,0.370936639118457,0.619834710743802,0.370936639118457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55839247240136,0.431214135089419,0.285671445444201,1,0.593007816863786,0.181666693956073,38,0.148884947800326,0.209384476169477,NA,NA
"HierholzerTable3AdenoHIDF",0.387755102040816,0.342941300231433,0.387755102040816,0.342941300231433,0.782460796435952,0.108769601782024,NA,NA,NA,0.0717252184533407,0.145813985110708,0.781045413719974,0.109477293140013,0.36165053305732,1,0.547590997642791,0.0744151682923934,0.150072893888117,45,0.407179093474912,0.318276402517519,0.378851673103381,1,0.538218443026844,0.109615971881578,45,0.074631950347942,0.150134507439836,NA,NA
"HierholzerTable3MyxHADF",0.455357142857143,0.322313384813385,0.455357142857143,0.322313384813385,0.737999225706137,0.131000387146932,NA,NA,NA,0.0953829757446535,0.16661779854921,0.737875146176545,0.131062426911727,0.00109336120249773,1,0.973621945777222,0.0991081371313635,0.169281086116926,40,0.444477217880179,0.348108248477907,2.28342649733019e-05,1,0.996187306211511,0.129942681134128,40,0.0964316610655579,0.16268676092471,NA,NA
"HierholzerTable3MyxHIDF",0.09375,0.0858552631578947,0.09375,0.0858552631578947,0.951971638232989,0.0240141808835057,NA,NA,NA,0.00862158260158885,0.0394067791654226,0.951973182808131,0.0240134085959344,0.0015274779357571,1,0.968824244770589,0.0105274948137196,0.0407206732281541,22,0.25289165958513,0.164444377393528,0.00574147261107024,1,0.939600090542634,0.0240133972990701,22,0.0105274686267914,0.0407128904476877,NA,NA
"HierholzerReoHADF",0.779661016949153,0.726475745178258,0.779661016949153,0.726475745178258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759697506939692,0.545334789466028,2.37694971995645,2,0.304685598089203,0.231054566315711,22,0.18345953080736,0.242082934526953,NA,NA
"HierholzerReoHIDF",0.357142857142857,0.27012987012987,0.357142857142857,0.27012987012987,0.801783725737273,0.0991081371313635,NA,NA,NA,0.0566634678313798,0.141552806431347,0.801853398318016,0.0990733008409919,0.000890639418247273,1,0.976191800399256,0.061862709057668,0.146446609406726,29,0.388334482647383,0.298269423070624,0.00123633817160649,1,0.971950881398017,0.0988952733322029,29,0.0618052535120939,0.141607636571766,NA,NA
